record_id,entity_name,risk_std,risk_point,risk_p50,risk_p10,risk_p90,impact_width,risk_tier,confidence_tier,primary_driver,matched_sources,S1_impact,S2_impact,S3_impact,S4_impact,S5_impact,S6_impact,S7_impact,S8_impact
REC_00146,Entity_00146,0.0338,0.407,0.4026,0.3664,0.452,0.0856,Moderate,Moderate,S7,"S1, S2, S7",0.012103,0.031213,0.0,0.0,0.0,0.0,0.319333,0.0
REC_00147,Entity_00147,0.0598,0.3101,0.306,0.2318,0.3807,0.149,Low,Moderate,S6,"S3, S6",0.0,0.0,0.09408,0.0,0.0,0.17248,0.0,0.0
REC_00148,Entity_00148,0.0436,0.5359,0.534,0.4867,0.5956,0.1089,Moderate,Moderate,S7,"S5, S6, S7, S8",0.0,0.0,0.0,0.0,0.04036,0.116036,0.249924,0.004688
REC_00149,Entity_00149,0.0147,0.02,0.0163,0.0057,0.0391,0.0334,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00150,Entity_00150,0.103,0.5539,0.5432,0.4151,0.684,0.2689,Moderate,Low,S4,"S2, S3, S4, S8",0.0,0.023479,0.060832,0.364989,0.0,0.0,0.0,0.004506
REC_00151,Entity_00151,0.108,0.5289,0.5171,0.3854,0.6668,0.2815,Moderate,Low,S4,"S2, S4, S5",0.0,0.024794,0.0,0.385434,0.040964,0.0,0.0,0.0
REC_00152,Entity_00152,0.0412,0.5874,0.5869,0.5356,0.6398,0.1042,Moderate,Moderate,S7,"S3, S5, S6, S7",0.0,0.0,0.05626,0.0,0.035876,0.103143,0.222154,0.0
REC_00153,Entity_00153,0.1185,0.4718,0.4532,0.3146,0.6239,0.3093,Moderate,Low,S4,"S1, S4",0.01078,0.0,0.0,0.43218,0.0,0.0,0.0,0.0
REC_00154,Entity_00154,0.0147,0.02,0.0163,0.0057,0.0391,0.0334,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00155,Entity_00155,0.0351,0.2066,0.2051,0.1644,0.2501,0.0857,Low,Moderate,S3,"S3, S5",0.0,0.0,0.108192,0.0,0.068992,0.0,0.0,0.0
REC_00156,Entity_00156,0.0589,0.3239,0.3199,0.2484,0.393,0.1446,Low,Moderate,S6,"S1, S3, S6",0.013798,0.0,0.092198,0.0,0.0,0.16903,0.0,0.0
REC_00157,Entity_00157,0.1012,0.5904,0.5861,0.4629,0.7102,0.2474,Moderate,Low,S4,"S2, S4, S6",0.0,0.02156,0.0,0.33516,0.0,0.10241,0.0,0.0
REC_00158,Entity_00158,0.0403,0.2613,0.2541,0.21,0.3147,0.1047,Low,Moderate,S3,"S1, S2, S3, S5",0.015075,0.038877,0.100727,0.0,0.064232,0.0,0.0,0.0
REC_00159,Entity_00159,0.031,0.4946,0.4977,0.4537,0.5331,0.0794,Moderate,Moderate,S7,"S1, S3, S5, S7",0.010314,0.0,0.068918,0.0,0.043948,0.0,0.272139,0.0
REC_00160,Entity_00160,0.0624,0.216,0.2069,0.1356,0.2987,0.1631,Low,Low,S6,S6,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0
REC_00161,Entity_00161,0.1108,0.5091,0.4956,0.3626,0.6475,0.2849,Moderate,Low,S4,"S4, S5, S8",0.0,0.0,0.0,0.401663,0.042689,0.0,0.0,0.004959
REC_00162,Entity_00162,0.035,0.2145,0.2133,0.173,0.258,0.085,Low,Moderate,S3,"S3, S5, S8",0.0,0.0,0.10711,0.0,0.068302,0.0,0.0,0.007934
REC_00163,Entity_00163,0.0625,0.3148,0.3058,0.2363,0.3934,0.1572,Low,Low,S6,"S2, S5, S6",0.0,0.036064,0.0,0.0,0.059584,0.171304,0.0,0.0
REC_00164,Entity_00164,0.0408,0.5916,0.5914,0.5403,0.6429,0.1026,Moderate,Moderate,S7,"S3, S5, S6, S7, S8",0.0,0.0,0.055697,0.0,0.035517,0.102112,0.219933,0.004126
REC_00165,Entity_00165,0.0439,0.5312,0.5294,0.4804,0.5915,0.1111,Moderate,Moderate,S7,"S5, S6, S7",0.0,0.0,0.0,0.0,0.040768,0.117208,0.252448,0.0
REC_00166,Entity_00166,0.0346,0.1435,0.1385,0.1027,0.1865,0.0838,Minimal,Moderate,S5,"S2, S5",0.0,0.04508,0.0,0.0,0.07448,0.0,0.0,0.0
REC_00167,Entity_00167,0.0156,0.0492,0.046,0.0327,0.0686,0.036,Minimal,High,S1,"S1, S8",0.019404,0.0,0.0,0.0,0.0,0.0,0.0,0.009604
REC_00168,Entity_00168,0.0334,0.069,0.0605,0.0283,0.1086,0.0803,Minimal,Moderate,S2,S2,0.0,0.049,0.0,0.0,0.0,0.0,0.0,0.0
REC_00169,Entity_00169,0.0341,0.3949,0.3903,0.3526,0.4382,0.0856,Low,Moderate,S7,"S2, S7",0.0,0.03185,0.0,0.0,0.0,0.0,0.32585,0.0
REC_00170,Entity_00170,0.0341,0.3949,0.3903,0.3526,0.4382,0.0856,Low,Moderate,S7,"S2, S7",0.0,0.03185,0.0,0.0,0.0,0.0,0.32585,0.0
REC_00171,Entity_00171,0.1087,0.5189,0.5052,0.3739,0.6556,0.2817,Moderate,Low,S4,"S1, S4, S5, S8",0.009818,0.0,0.0,0.39363,0.041835,0.0,0.0,0.00486
REC_00172,Entity_00172,0.0282,0.363,0.364,0.3303,0.3998,0.0695,Low,Moderate,S7,S7,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.0
REC_00173,Entity_00173,0.0147,0.02,0.0163,0.0057,0.0391,0.0334,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00174,Entity_00174,0.0457,0.5782,0.5785,0.5157,0.6334,0.1177,Moderate,Moderate,S7,"S2, S3, S6, S7, S8",0.0,0.022198,0.057513,0.0,0.0,0.105441,0.227104,0.00426
REC_00175,Entity_00175,0.0592,0.2787,0.2726,0.2076,0.3592,0.1516,Low,Low,S6,"S5, S6",0.0,0.0,0.0,0.0,0.06272,0.18032,0.0,0.0
REC_00176,Entity_00176,0.0153,0.0396,0.0368,0.024,0.0588,0.0348,Minimal,High,S1,S1,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00177,Entity_00177,0.0147,0.02,0.0163,0.0057,0.0391,0.0334,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00178,Entity_00178,0.0926,0.6205,0.6116,0.4997,0.7339,0.2343,Moderate,Low,S4,"S3, S4, S6",0.0,0.0,0.051744,0.310464,0.0,0.094864,0.0,0.0
REC_00179,Entity_00179,0.047,0.4904,0.4893,0.4279,0.5511,0.1232,Moderate,Moderate,S7,"S6, S7",0.0,0.0,0.0,0.0,0.0,0.1274,0.2744,0.0
REC_00180,Entity_00180,0.0282,0.363,0.364,0.3303,0.3998,0.0695,Low,Moderate,S7,S7,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.0
REC_00181,Entity_00181,0.0586,0.397,0.3926,0.3268,0.4702,0.1434,Low,Moderate,S6,"S2, S3, S5, S6",0.0,0.031736,0.082226,0.0,0.052434,0.150748,0.0,0.0
REC_00182,Entity_00182,0.0556,0.3716,0.3681,0.3038,0.4446,0.1408,Low,Moderate,S6,"S3, S5, S6, S8",0.0,0.0,0.085688,0.0,0.054642,0.157095,0.0,0.006347
REC_00183,Entity_00183,0.0616,0.2317,0.2254,0.1509,0.3105,0.1596,Low,Low,S6,"S1, S6",0.01568,0.0,0.0,0.0,0.0,0.19208,0.0,0.0
REC_00184,Entity_00184,0.0334,0.0783,0.0707,0.037,0.1169,0.0799,Minimal,Moderate,S2,"S2, S8",0.0,0.04851,0.0,0.0,0.0,0.0,0.0,0.00931
REC_00185,Entity_00185,0.1032,0.5731,0.5688,0.4391,0.7039,0.2648,Moderate,Low,S4,"S4, S6, S8",0.0,0.0,0.0,0.349272,0.0,0.106722,0.0,0.004312
REC_00186,Entity_00186,0.047,0.4904,0.4893,0.4279,0.5511,0.1232,Moderate,Moderate,S7,"S6, S7",0.0,0.0,0.0,0.0,0.0,0.1274,0.2744,0.0
REC_00187,Entity_00187,0.0624,0.216,0.2069,0.1356,0.2987,0.1631,Low,Low,S6,S6,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0
REC_00188,Entity_00188,0.0345,0.2225,0.2219,0.1797,0.2661,0.0864,Low,Moderate,S3,"S1, S3, S5",0.015868,0.0,0.106028,0.0,0.067612,0.0,0.0,0.0
REC_00189,Entity_00189,0.0593,0.317,0.3137,0.2389,0.387,0.1481,Low,Moderate,S6,"S3, S6, S8",0.0,0.0,0.093139,0.0,0.0,0.170755,0.0,0.006899
REC_00190,Entity_00190,0.0625,0.3148,0.3058,0.2363,0.3934,0.1572,Low,Low,S6,"S2, S5, S6",0.0,0.036064,0.0,0.0,0.059584,0.171304,0.0,0.0
REC_00191,Entity_00191,0.108,0.5289,0.5171,0.3854,0.6668,0.2815,Moderate,Low,S4,"S2, S4, S5",0.0,0.024794,0.0,0.385434,0.040964,0.0,0.0,0.0
REC_00192,Entity_00192,0.0425,0.1807,0.1749,0.1266,0.2319,0.1053,Low,Moderate,S3,"S2, S3",0.0,0.04312,0.11172,0.0,0.0,0.0,0.0,0.0
REC_00193,Entity_00193,0.044,0.556,0.5583,0.4977,0.6084,0.1107,Moderate,Moderate,S7,"S3, S6, S7, S8",0.0,0.0,0.06054,0.0,0.0,0.110991,0.239057,0.004484
REC_00194,Entity_00194,0.076,0.6601,0.6511,0.5656,0.7597,0.1941,Moderate,Low,S4,"S1, S4, S7, S8",0.006937,0.0,0.0,0.278108,0.0,0.0,0.183028,0.003433
REC_00195,Entity_00195,0.0147,0.02,0.0163,0.0057,0.0391,0.0334,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00196,Entity_00196,0.0147,0.02,0.0163,0.0057,0.0391,0.0334,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00197,Entity_00197,0.0956,0.6073,0.6051,0.4825,0.7279,0.2454,Moderate,Low,S4,"S4, S5, S6, S8",0.0,0.0,0.0,0.32133,0.034151,0.098184,0.0,0.003967
REC_00198,Entity_00198,0.023,0.1253,0.1252,0.0977,0.1571,0.0594,Minimal,Moderate,S5,"S1, S5, S8",0.017852,0.0,0.0,0.0,0.076064,0.0,0.0,0.008836
REC_00199,Entity_00199,0.0282,0.363,0.364,0.3303,0.3998,0.0695,Low,Moderate,S7,S7,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.0
REC_00200,Entity_00200,0.1104,0.514,0.4988,0.3673,0.6555,0.2882,Moderate,Low,S4,"S1, S4, S5",0.009918,0.0,0.0,0.397606,0.042258,0.0,0.0,0.0
REC_00201,Entity_00201,0.031,0.0783,0.0749,0.0451,0.1242,0.0792,Minimal,Moderate,S2,"S2, S8",0.0,0.04851,0.0,0.0,0.0,0.0,0.0,0.00931
REC_00202,Entity_00202,0.014,0.0396,0.038,0.0222,0.0586,0.0364,Minimal,High,S1,S1,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00203,Entity_00203,0.0562,0.403,0.401,0.331,0.4752,0.1442,Moderate,Moderate,S6,"S2, S3, S5, S6, S8",0.0,0.031419,0.081404,0.0,0.05191,0.14924,0.0,0.00603
REC_00204,Entity_00204,0.0133,0.0298,0.0269,0.0145,0.0465,0.032,Minimal,High,S8,S8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0098
REC_00205,Entity_00205,0.0421,0.5312,0.5322,0.4787,0.5858,0.1071,Moderate,Moderate,S7,"S5, S6, S7",0.0,0.0,0.0,0.0,0.040768,0.117208,0.252448,0.0
REC_00206,Entity_00206,0.014,0.0396,0.038,0.0222,0.0586,0.0364,Minimal,High,S1,S1,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00207,Entity_00207,0.1039,0.5352,0.5248,0.4011,0.6691,0.268,Moderate,Low,S4,"S1, S3, S4",0.009486,0.0,0.063386,0.380318,0.0,0.0,0.0,0.0
REC_00208,Entity_00208,0.0306,0.3694,0.3675,0.3327,0.4108,0.0781,Low,Moderate,S7,"S7, S8",0.0,0.0,0.0,0.0,0.0,0.0,0.33957,0.00637
REC_00209,Entity_00209,0.106,0.5257,0.5166,0.3893,0.6618,0.2725,Moderate,Low,S4,"S3, S4",0.0,0.0,0.06468,0.38808,0.0,0.0,0.0,0.0
REC_00210,Entity_00210,0.0416,0.1889,0.1871,0.1367,0.2418,0.1051,Low,Moderate,S3,"S2, S3, S8",0.0,0.042689,0.110603,0.0,0.0,0.0,0.0,0.008193
REC_00211,Entity_00211,0.0352,0.2225,0.2187,0.1778,0.2657,0.088,Low,Moderate,S3,"S1, S3, S5",0.015868,0.0,0.106028,0.0,0.067612,0.0,0.0,0.0
REC_00212,Entity_00212,0.0421,0.5312,0.5322,0.4787,0.5858,0.1071,Moderate,Moderate,S7,"S5, S6, S7",0.0,0.0,0.0,0.0,0.040768,0.117208,0.252448,0.0
REC_00213,Entity_00213,0.0602,0.216,0.2159,0.1409,0.293,0.1521,Low,Low,S6,S6,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0
REC_00214,Entity_00214,0.0618,0.2626,0.2644,0.1799,0.3417,0.1618,Low,Low,S6,"S2, S6, S8",0.0,0.038808,0.0,0.0,0.0,0.184338,0.0,0.007448
REC_00215,Entity_00215,0.0313,0.0876,0.0851,0.0523,0.1322,0.0799,Minimal,Moderate,S2,"S1, S2",0.01862,0.04802,0.0,0.0,0.0,0.0,0.0,0.0
REC_00216,Entity_00216,0.0128,0.02,0.0172,0.0053,0.0369,0.0315,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00217,Entity_00217,0.0598,0.3511,0.3481,0.2787,0.4288,0.15,Low,Low,S6,"S2, S3, S6, S8",0.0,0.034151,0.088482,0.0,0.0,0.162217,0.0,0.006554
REC_00218,Entity_00218,0.0313,0.0876,0.0851,0.0523,0.1322,0.0799,Minimal,Moderate,S2,"S1, S2",0.01862,0.04802,0.0,0.0,0.0,0.0,0.0,0.0
REC_00219,Entity_00219,0.0565,0.2859,0.2841,0.2164,0.3577,0.1413,Low,Moderate,S6,"S5, S6, S8",0.0,0.0,0.0,0.0,0.062093,0.178517,0.0,0.007213
REC_00220,Entity_00220,0.0618,0.2626,0.2644,0.1799,0.3417,0.1618,Low,Low,S6,"S2, S6, S8",0.0,0.038808,0.0,0.0,0.0,0.184338,0.0,0.007448
REC_00221,Entity_00221,0.0602,0.216,0.2159,0.1409,0.293,0.1521,Low,Low,S6,S6,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0
REC_00222,Entity_00222,0.0743,0.6777,0.6738,0.5836,0.7701,0.1864,Moderate,Low,S4,"S4, S5, S7",0.0,0.0,0.0,0.263718,0.028028,0.0,0.173558,0.0
REC_00223,Entity_00223,0.0305,0.4257,0.4248,0.3866,0.4673,0.0807,Moderate,Moderate,S7,"S1, S5, S7",0.011721,0.0,0.0,0.0,0.049941,0.0,0.309249,0.0
REC_00224,Entity_00224,0.076,0.6672,0.6614,0.5652,0.7701,0.2049,Moderate,Low,S4,"S2, S4, S7",0.0,0.017517,0.0,0.272318,0.0,0.0,0.179217,0.0
REC_00225,Entity_00225,0.0339,0.1376,0.1358,0.0936,0.1803,0.0867,Minimal,Moderate,S3,S3,0.0,0.0,0.1176,0.0,0.0,0.0,0.0,0.0
REC_00226,Entity_00226,0.0427,0.5546,0.5575,0.5006,0.6126,0.112,Moderate,Moderate,S7,"S2, S5, S6, S7",0.0,0.023442,0.0,0.0,0.03873,0.111348,0.239826,0.0
REC_00227,Entity_00227,0.1116,0.5091,0.4969,0.3594,0.6518,0.2924,Moderate,Low,S4,"S4, S5, S8",0.0,0.0,0.0,0.401663,0.042689,0.0,0.0,0.004959
REC_00228,Entity_00228,0.042,0.1807,0.1789,0.1282,0.2358,0.1076,Low,Moderate,S3,"S2, S3",0.0,0.04312,0.11172,0.0,0.0,0.0,0.0,0.0
REC_00229,Entity_00229,0.0366,0.4675,0.4691,0.4229,0.5163,0.0935,Moderate,Moderate,S7,"S2, S3, S7",0.0,0.028028,0.072618,0.0,0.0,0.0,0.286748,0.0
REC_00230,Entity_00230,0.0625,0.2552,0.2569,0.1717,0.336,0.1643,Low,Low,S6,"S2, S6",0.0,0.0392,0.0,0.0,0.0,0.1862,0.0,0.0
REC_00231,Entity_00231,0.0305,0.363,0.3611,0.3265,0.4049,0.0784,Low,Moderate,S7,S7,0.0,0.0,0.0,0.0,0.0,0.0,0.343,0.0
REC_00232,Entity_00232,0.0355,0.2066,0.2046,0.1624,0.2506,0.0883,Low,Moderate,S3,"S3, S5",0.0,0.0,0.108192,0.0,0.068992,0.0,0.0,0.0
REC_00233,Entity_00233,0.0743,0.6777,0.6738,0.5836,0.7701,0.1864,Moderate,Low,S4,"S4, S5, S7",0.0,0.0,0.0,0.263718,0.028028,0.0,0.173558,0.0
REC_00234,Entity_00234,0.0128,0.02,0.0172,0.0053,0.0369,0.0315,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00235,Entity_00235,0.0223,0.1253,0.1221,0.0975,0.1519,0.0545,Minimal,Moderate,S5,"S1, S5, S8",0.017852,0.0,0.0,0.0,0.076064,0.0,0.0,0.008836
REC_00236,Entity_00236,0.0355,0.2066,0.2046,0.1624,0.2506,0.0883,Low,Moderate,S3,"S3, S5",0.0,0.0,0.108192,0.0,0.068992,0.0,0.0,0.0
REC_00237,Entity_00237,0.0332,0.1435,0.1411,0.103,0.1863,0.0833,Minimal,Moderate,S5,"S2, S5",0.0,0.04508,0.0,0.0,0.07448,0.0,0.0,0.0
REC_00238,Entity_00238,0.0355,0.2066,0.2046,0.1624,0.2506,0.0883,Low,Moderate,S3,"S3, S5",0.0,0.0,0.108192,0.0,0.068992,0.0,0.0,0.0
REC_00239,Entity_00239,0.0128,0.02,0.0172,0.0053,0.0369,0.0315,Minimal,High,Leak,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REC_00240,Entity_00240,0.022,0.1074,0.1049,0.0796,0.1338,0.0542,Minimal,Moderate,S5,"S5, S8",0.0,0.0,0.0,0.0,0.077616,0.0,0.0,0.009016
REC_00241,Entity_00241,0.0583,0.2394,0.2405,0.1672,0.3159,0.1487,Low,Moderate,S6,"S1, S6, S8",0.015523,0.0,0.0,0.0,0.0,0.190159,0.0,0.007683
REC_00242,Entity_00242,0.0602,0.216,0.2159,0.1409,0.293,0.1521,Low,Low,S6,S6,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0
REC_00243,Entity_00243,0.0602,0.216,0.2159,0.1409,0.293,0.1521,Low,Low,S6,S6,0.0,0.0,0.0,0.0,0.0,0.196,0.0,0.0
REC_00244,Entity_00244,0.0963,0.6033,0.6012,0.4803,0.7218,0.2416,Moderate,Low,S4,"S4, S5, S6",0.0,0.0,0.0,0.324576,0.034496,0.099176,0.0,0.0
REC_00245,Entity_00245,0.042,0.1807,0.1789,0.1282,0.2358,0.1076,Low,Moderate,S3,"S2, S3",0.0,0.04312,0.11172,0.0,0.0,0.0,0.0,0.0
REC_00246,Entity_00246,0.0338,0.1548,0.1539,0.112,0.1987,0.0866,Low,Moderate,S3,"S1, S3",0.017248,0.0,0.115248,0.0,0.0,0.0,0.0,0.0
REC_00247,Entity_00247,0.022,0.0984,0.0957,0.0702,0.123,0.0527,Minimal,Moderate,S5,S5,0.0,0.0,0.0,0.0,0.0784,0.0,0.0,0.0
REC_00248,Entity_00248,0.0596,0.2238,0.2241,0.1493,0.3017,0.1525,Low,Low,S6,"S6, S8",0.0,0.0,0.0,0.0,0.0,0.19404,0.0,0.00784
REC_00249,Entity_00249,0.1207,0.461,0.4448,0.3077,0.6175,0.3098,Moderate,Low,S4,S4,0.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0
